id,name,slug,nationality,birth_year,website,instagram,instagram_followers,galleries_exhibited,cv_url
,Lisa Williamson,,,,http://www.lisawilliamsonart.com,https://www.instagram.com/lisawilliamsonart,,Tanya Bonakdar Gallery,http://www.lisawilliamsonart.com/cv
,Liu Shiyuan,,,,https://www.shiyuanliu.com,,,Tanya Bonakdar Gallery,
,Liu Ye,,,,,,,Tanya Bonakdar Gallery,
,Liz Craft,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Liz Magor,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Liza Lacroix,,,,https://magentaplains.com/artists/liza-lacroix,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Lloyd Foster,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Lorenzo Pace,,,,,,,Europa,
,Lou Ros,,,,,,,IRL Gallery NYC,
,Louis Eisner,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Louis Jacquot,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Louisa Gagliardi,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Louise Giovanelli,,,,,,,CLEARING-NewYork,
,Loup Sarion,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Loïc Raguénès,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Lucia Nogueira,,,,,,,Luhring Augustine,
,Lucy Bull,,,,,,,CLEARING-NewYork,
,Ludovic Bernhardt,,,,,,,Sanatorium,
,Luiz Zerbini,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Luz Blanco,,,,,,,Sanatorium,
,Luís Lázaro Matos,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Lyndsey Marko,,,,,,,International Waters,
,Magali Reus,,,,https://magalireus.com,,,Tanya Bonakdar Gallery,https://magalireus.com/cv
1,Magnus Maxine Flowers,magnus-maxine-flowers,,,,,,,
,Manuel Tainha,,,,,,,IRL Gallery NYC,
13,Manuela Riestra,manuela-riestra,,,,,,,
,Marc Camille Chaimowicz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
49,Marco Santini,marco-santini,,,,,,,
,Marcus Jahmal,,,,,,,CLEARING-NewYork,
,Margaux Schwarz,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Marguerite Humeau,,,,,,,"CLEARING-LA, CLEARING-NewYork",
,Marina Pinsky,,,,,,,CLEARING-NewYork,
,Marisa Regante,,,,,,,IRL Gallery NYC,
,Marius Steiger,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Mark Dion,,,,,,,Tanya Bonakdar Gallery,
,Mark Handforth,,,,,,,Luhring Augustine,
,Mark Manders,,,,https://www.markmanders.com,https://www.instagram.com/mark.manders,,Tanya Bonakdar Gallery,https://www.markmanders.com/cv
,Martin Boyce,,,,https://www.martinboyce.com,,,Tanya Bonakdar Gallery,https://www.martinboyce.com/cv
,Martin Kippenberger,,,,,,,Luhring Augustine,
,Math Bass,,,,,,,Tanya Bonakdar Gallery,
,Matt Copson,,,,,,,CLEARING-NewYork,
,Matt Keegan,,,,https://magentaplains.com/artists/matt-keegan,https://www.instagram.com/magentaplains,,Magenta Plains,https://magentaplains.com/cv
,Matt Kenny,,,,,,,56 Henry,
,Matthew Langan Peck,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Matthew Tully Dugan,,,,,,,56 Henry,
,Mauro Restiffe,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Maximiliane Baumgartner,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Megan Marrin,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Mehmet Dere,,,,,,,Sanatorium,
,Melike Kara,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Melvin Way,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Meriem Bennani,,,,,,,CLEARING-NewYork,
,Merve Şendil,,,,,,,Sanatorium,
,Meschac Gaba,,,,,,,Tanya Bonakdar Gallery,
,Michael Angelo Bala,,,,,,,CLEARING-NewYork,
,Michael E. Smith,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Michael McGregor,,,,,,,IRL Gallery NYC,
,Michelangelo Pistoletto,,,,,,,Luhring Augustine,
,Michelle Segre,,,,,,,56 Henry,
,Mickael Marman,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Mika Horibuchi,,,,,,,56 Henry,
,Milly Skellington,,,,,,,Europa,
,Mimi Lauter,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
34,Mimi Oritsky,mimi-oritsky,,,,,,,
11,Mira Lehr,mira-lehr,,,,,,,
,Miranda Fengyuan Zhang,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Mohammed Sami,,,,,,,Luhring Augustine,
,Monica Bonvicini,,,,https://monicabonvicini.net,,,Tanya Bonakdar Gallery,https://monicabonvicini.net/cv
,Monster Chetwynd,,,,,,,"CLEARING-Brussels, CLEARING-LA, CLEARING-NewYork",
,Murray Clarke,,,,,,,IRL Gallery NYC,
